sample_index;real;imag;amplitude;phase_rad
0;0,0004082966;-0,0004082966;0,0005774185;-0,7853981853
1;-0,0002754655;0,0002754655;0,0003895671;2,3561944962
2;-0,0006959112;0,0006959112;0,0009841671;2,3561944962
3;-0,0004092872;0,0004092872;0,0005788194;2,3561944962
4;0,0007175142;-0,0007175142;0,0010147183;-0,7853981853
5;0,0004457887;-0,0004457887;0,0006304404;-0,7853981853
6;-0,0003184786;0,0003184786;0,0004503967;2,3561944962
7;-0,0008063653;0,0008063653;0,0011403727;2,3561944962
8;-0,0009038127;0,0000872195;0,0009080113;3,0453886986
9;0,0006080627;-0,0000571317;0,0006107408;-0,0936818346
10;0,0015421254;-0,0001503029;0,0015494326;-0,0971578956
11;0,0009125001;-0,0000939257;0,0009173214;-0,1025710851
12;-0,0002709165;0,0004690744;0,0005416886;2,0945489407
13;-0,0018747690;-0,0001186704;0,0018785212;-3,0783782005
14;-0,0015395370;-0,0006071508;0,0016549339;-2,7659471035
15;0,0004675173;-0,0004919354;0,0006786552;-0,8108426929
16;0,0016926272;-0,0002813175;0,0017158457;-0,1646962613
17;0,0018700905;0,0009006630;0,0020756763;0,4488314390
18;0,0000323253;0,0011767996;0,0011772435;1,5433344841
19;-0,0020064008;0,0002302369;0,0020195676;3,0273411274
20;-0,0025127223;-0,0005846574;0,0025798446;-2,9129815102
21;0,0002486747;-0,0014897127;0,0015103255;-1,4053933620
22;0,0028922481;-0,0008396013;0,0030116488;-0,2825282812
23;0,0026784232;0,0007574443;0,0027834643;0,2755984962
24;-0,0006959850;0,0012538679;0,0014340780;2,0775241852
25;-0,0027425520;0,0011438002;0,0029715097;2,7464690208
26;-0,0019302280;-0,0002109365;0,0019417194;-3,0327439308
27;0,0010385556;-0,0014661845;0,0017967457;-0,9544956088
28;0,0027193457;-0,0008868500;0,0028603049;-0,3152502179
29;0,0023016906;-0,0000564466;0,0023023826;-0,0245190784
30;-0,0006649576;0,0008909643;0,0011117491;2,2119474411
31;-0,0032376437;0,0009795083;0,0033825692;2,8478095531
32;-0,0022589304;-0,0003365317;0,0022838607;-2,9937019348
33;0,0004095287;-0,0006580948;0,0007751145;-1,0141450167
34;0,0028171558;-0,0002866634;0,0028317033;-0,1014072821
35;0,0024404000;0,0004397679;0,0024797071;0,1782897562
36;-0,0000668058;0,0003689916;0,0003749904;1,7499057055
37;-0,0032539249;0,0005973976;0,0033083095;2,9600217342
38;-0,0030522668;0,0001598890;0,0030564519;3,0892567635
39;0,0005414227;-0,0005377193;0,0007630732;-0,7819663882
40;0,0034654713;-0,0003457831;0,0034826796;-0,0994503573
41;0,0035399192;-0,0004613614;0,0035698572;-0,1296005398
42;-0,0003465081;-0,0000429526;0,0003491601;-3,0182633400
43;-0,0043868590;0,0004901433;0,0044141561;3,0303242207
44;-0,0038356078;0,0009554083;0,0039528082;2,8974714279
45;0,0000629014;-0,0002554581;0,0002630883;-1,3293691874
46;0,0042056786;-0,0012451670;0,0043861340;-0,2878455818
47;0,0042316876;-0,0009338326;0,0043335003;-0,2171951681
48;-0,0005734515;0,0000063418;0,0005734866;3,1305341721
49;-0,0042648506;0,0016438655;0,0045706942;2,7736961842
50;-0,0033898773;0,0014991411;0,0037065742;2,7252101898
51;0,0015637714;-0,0004081229;0,0016161513;-0,2552916706
52;0,0059209378;-0,0025013681;0,0064276238;-0,3997185230
53;0,0035432763;-0,0013430397;0,0037892696;-0,3623069525
54;-0,0032407423;0,0014554089;0,0035525523;2,7194895744
55;-0,0077322256;0,0030596382;0,0083155697;2,7647991180
56;-0,0044057970;0,0020392716;0,0048548612;2,7080950737
57;0,0030357118;-0,0018507399;0,0035553882;-0,5474892855
58;0,0078915628;-0,0039519956;0,0088258162;-0,4642773867
59;0,0046984022;-0,0018602024;0,0050532497;-0,3769862056
60;-0,0034605963;0,0020538615;0,0040241862;2,6059668064
61;-0,0090763671;0,0046379589;0,0101926988;2,6691894531
62;-0,0045055933;0,0020024381;0,0049305307;2,7233772278
63;0,0067839660;-0,0036253794;0,0076919156;-0,4907906055
64;0,0125818672;-0,0067041782;0,0142565565;-0,4895766377
65;0,0059923921;-0,0021126715;0,0063539078;-0,3389526904
66;-0,0092964945;0,0057302471;0,0109206475;2,5892102718
67;-0,0182878412;0,0089428257;0,0203572884;2,6867804527
68;-0,0103810085;0,0030116509;0,0108090416;2,8592321873
69;0,0099525359;-0,0058714142;0,0115553653;-0,5329907537
70;0,0217729211;-0,0092577841;0,0236593876;-0,4020376205
71;0,0106836436;-0,0025139917;0,0109754456;-0,2311078012
72;-0,0139442803;0,0088618472;0,0165219642;2,5754652023
73;-0,0262294523;0,0110289780;0,0284538660;2,7435560226
74;-0,0059744157;-0,0013234032;0,0061192354;-2,9236009121
75;0,0332184993;-0,0194624215;0,0385000594;-0,5299806595
76;0,0503733046;-0,0246507451;0,0560814515;-0,4551004767
77;0,0127438400;-0,0021544308;0,0129246684;-0,1674731523
78;-0,0610184856;0,0379750691;0,0718704462;2,5848987103
79;-0,1062195674;0,0637780726;0,1238960847;2,6008524895
80;-0,0622018985;0,0402083173;0,0740660876;2,5677409172
81;0,0638353303;-0,0390375778;0,0748256743;-0,5488584042
82;0,1861606091;-0,1365446746;0,2308683991;-0,6328427792
83;0,1899391562;-0,1734839380;0,2572422326;-0,7401506901
84;0,0153164929;-0,0637293234;0,0655440390;-1,3349330425
85;-0,3021070063;0,2348280400;0,3826393485;2,4808466434
86;-0,6642422080;0,6861159801;0,9549727440;2,3399972916
87;-0,9994617105;1,1693978310;1,5383156538;2,2780015469
88;-1,3119338751;1,5253342390;2,0119183064;2,2811224461
89;-1,6347090006;1,6406015158;2,3159980774;2,3543953896
90;-1,9282059669;1,5201553106;2,4553716183;2,4739785194
91;-2,0169360638;1,3084938526;2,4042019844;2,5660943985
92;-1,6678634882;1,2158116102;2,0639686584;2,5116913319
93;-0,7875422835;1,3736718893;1,5834131241;2,0913610458
94;0,4150974751;1,7130827904;1,7626566887;1,3330681324
95;1,4471755028;1,9502274990;2,4285190105;0,9323996305
96;1,7837896347;1,7372545004;2,4899716377;0,7721826434
97;1,2037650347;0,9060035348;1,5066162348;0,6451895237
98;-0,0182038769;-0,3419082761;0,3423925340;-1,6239881516
99;-1,2346541882;-1,4678890705;1,9180899858;-2,2701058388
100;-1,7944946289;-1,8717527390;2,5930037498;-2,3351247311
101;-1,4240741730;-1,2684316635;1,9070674181;-2,4139361382
102;-0,3566735685;0,0703825876;0,3635515869;2,9467651844
103;0,8522616625;1,4124557972;1,6496609449;1,0278879404
104;1,6875896454;1,9710717201;2,5948183537;0,8627260923
105;1,9507572651;1,3864015341;2,3932325840;0,6178705692
106;1,7908622026;-0,0221946500;1,7909996510;-0,0123926420
107;1,5065391064;-1,4283262491;2,0759999752;-0,7587549090
108;1,3147864342;-1,9944002628;2,3887856007;-0,9879536033
109;1,2533917427;-1,3882620335;1,8703641891;-0,8364090919
110;1,2581560612;0,0193740577;1,2583051920;0,0153975543
111;1,2869650126;1,3888309002;1,8934439421;0,8234491944
112;1,3671749830;1,9300059080;2,3651828766;0,9544692039
113;1,5310475826;1,3700306416;2,0545294285;0,7299525738
114;1,7161747217;0,0760533288;1,7178590298;0,0442866348
115;1,7591680288;-1,2039446831;2,1317024231;-0,6001676917
116;1,4963793755;-1,7985339165;2,3396315575;-0,8768457174
117;0,8934183717;-1,4647899866;1,7157523632;-1,0231077671
118;0,0781758130;-0,4497762322;0,4565195441;-1,3987051249
119;-0,7408869267;0,7369165421;1,0449687243;2,3588812351
120;-1,4043679237;1,6395167112;2,1587646008;2,2790946960
121;-1,8553761244;2,0601291656;2,7724633217;2,3039491177
122;-2,0861296654;2,0499372482;2,9247529507;2,3649446964
123;-2,0391232967;1,7667413950;2,6980361938;2,4276416302
124;-1,5981901884;1,3275340796;2,0776329041;2,4484410286
125;-0,7136736512;0,7602239251;1,0427225828;2,3246219158
126;0,4417780042;0,0653190613;0,4465807676;0,1467914283
127;1,4377883673;-0,7050237656;1,6013412476;-0,4559002221
128;1,7748579979;-1,4179773331;2,2717351913;-0,6740847230
129;1,2028636932;-1,9096729755;2,2569298744;-1,0086959600
130;-0,0445011035;-2,0609788895;2,0614593029;-1,5923851728
131;-1,3125211000;-1,8537360430;2,2713539600;-2,1868984699
132;-1,8798452616;-1,3631840944;2,3220870495;-2,5141811371
133;-1,3999490738;-0,7090141177;1,5692541599;-2,6727926731
134;-0,1275277138;0,0035939105;0,1275783330;3,1134188175
135;1,2189117670;0,7028486133;1,4070330858;0,5230507255
136;1,8870340586;1,3359721899;2,3120813370;0,6160579920
137;1,5290489197;1,8349188566;2,3884971142;0,8760741949
138;0,3796140850;2,1027388573;2,1367304325;1,3921869993
139;-0,9362270236;2,0270180702;2,2327835560;2,0034806728
140;-1,8069882393;1,5361434221;2,3716962337;2,4370331764
141;-1,9848670959;0,6697473526;2,0948171616;2,8161625862
142;-1,6610364914;-0,3695558310;1,7016503811;-2,9226732254
143;-1,2659178972;-1,2465097904;1,7766076326;-2,3639192581
144;-1,1498047113;-1,6118894815;1,9799593687;-2,1904108524
145;-1,3709101677;-1,2773575783;1,8737760782;-2,3915057182
146;-1,7010757923;-0,3417443633;1,7350643873;-2,9433329105
147;-1,8207727671;0,8142443299;1,9945443869;2,7210719585
148;-1,5354932547;1,7068692446;2,2958967686;2,3033883572
149;-0,8758844733;2,0113270283;2,1937661171;1,9815065861
150;-0,0334858410;1,7552187443;1,7555379868;1,5898718834
151;0,7753705978;1,2909770012;1,5059286356;1,0299302340
152;1,4147040844;1,0553241968;1,7649636269;0,6409157515
153;1,8340711594;1,2595196962;2,2249059677;0,6017672420
154;2,0133352280;1,7341142893;2,6571922302;0,7110260129
155;1,9114524126;2,0352303982;2,7920982838;0,8167504072
156;1,4859498739;1,7587625980;2,3024535179;0,8692800403
157;0,7640545964;0,8377236724;1,1338255405;0,8313578367
158;-0,1154469401;-0,3806546330;0,3977762759;-1,8652644157
159;-0,9325560927;-1,3453259468;1,6369369030;-2,1769318581
160;-1,4903321266;-1,6367201805;2,2135815620;-2,3094151020
161;-1,7179516554;-1,1970523596;2,0938701630;-2,5330240726
162;-1,6869593859;-0,3010390401;1,7136090994;-2,9650008678
163;-1,5431486368;0,6651731133;1,6804057360;2,7346093655
164;-1,4032659531;1,4362281561;2,0079607964;2,3445866108
165;-1,3068901300;1,9337894917;2,3339886665;2,1651079655
166;-1,2442386150;2,1663355827;2,4982273579;2,0921432972
167;-1,2275798321;2,0893847942;2,4233200550;2,1019976139
168;-1,3113610744;1,5969171524;2,0663523674;2,2583208084
169;-1,5318704844;0,6616103649;1,6686388254;2,7338945866
170;-1,8081551790;-0,5023193955;1,8766326904;-2,8706181049
171;-1,9221513271;-1,4475269318;2,4062418938;-2,4961254597
172;-1,6248401403;-1,7142544985;2,3619430065;-2,3294229507
173;-0,8253847361;-1,1345952749;1,4030561447;-2,1997220516
174;0,2837846875;0,0176660120;0,2843340039;0,0621712357
175;1,2695376873;1,1510723829;1,7136783600;0,7364969254
176;1,6808477640;1,6942291260;2,3865585327;0,7893629074
177;1,3097430468;1,4109247923;1,9251326323;0,8225710988
178;0,3281067014;0,4888488054;0,5887505412;0,9796739817
179;-0,8176112175;-0,6343005896;1,0348069668;-2,4817845821
180;-1,6612221003;-1,5535221100;2,2744426727;-2,3896839619
181;-1,9681353569;-2,0761101246;2,8607325554;-2,3295023441
182;-1,8121004105;-2,2019047737;2,8516824245;-2,2593870163
183;-1,4740114212;-1,9869430065;2,4739954472;-2,2090601921
184;-1,2330143452;-1,4528453350;1,9055403471;-2,2745289803
185;-1,2110146284;-0,6259080172;1,3632011414;-2,6645593643
186;-1,3477680683;0,3553718925;1,3938320875;2,8837859631
187;-1,4926906824;1,1999417543;1,9151986837;2,4644913673
188;-1,5296778679;1,5697927475;2,1918404102;2,3432526588
189;-1,4440599680;1,2750579119;1,9264167547;2,4182679653
190;-1,3136922121;0,4173349738;1,3783887625;2,8339948654
191;-1,2484645844;-0,6606283784;1,4124778509;-2,6548957825
192;-1,3192639351;-1,5655720234;2,0473086834;-2,2710208893
193;-1,5146571398;-2,0572800636;2,5547187328;-2,2054343224
194;-1,7290834188;-2,1153361797;2,7321012020;-2,2560594082
195;-1,7916923761;-1,8510349989;2,5761389732;-2,3399052620
196;-1,5397486687;-1,3713538647;2,0619015694;-2,4139757156
197;-0,9075741172;-0,7215579748;1,1594552994;-2,4698832035
198;-0,0002966457;0,0677111894;0,0677118376;1,5751773119
199;0,9296247959;0,8820806742;1,2815102339;0,7591614127
200;1,5920141935;1,5182342529;2,1998965740;0,7616810799
201;1,8153033257;1,7921202183;2,5508863926;0,7789717317
202;1,6524553299;1,6857086420;2,3605554104;0,7953593731
203;1,3530762196;1,3940105438;1,9426994324;0,8002980351
204;1,2023317814;1,2065635920;1,7033488750;0,7871549129
205;1,3346830606;1,2980639935;1,8618133068;0,7714899778
206;1,6343677044;1,5959472656;2,2843391895;0,7735050321
207;1,8163237572;1,8115880489;2,5653233528;0,7840927839
208;1,6126379967;1,6408329010;2,3006377220;0,7940640450
209;0,9474221468;0,9810974598;1,3638771772;0,8028581142
210;-0,0055099959;0,0014200927;0,0056900540;2,8893518448
211;-0,9339417815;-0,9564087987;1,3367741108;-2,3443100452
212;-1,5619233847;-1,5890109539;2,2281293869;-2,3475980759
213;-1,7886403799;-1,7899476290;2,5304441452;-2,3558292389
214;-1,6991827488;-1,6752632856;2,3861536980;-2,3632826805
215;-1,4852914810;-1,4612891674;2,0836162567;-2,3643400669
216;-1,3210711479;-1,3216069937;1,8686555624;-2,3559918404
217;-1,2806466818;-1,3064692020;1,8294583559;-2,3462135792
218;-1,3412618637;-1,3650832176;1,9137490988;-2,3473927975
219;-1,4259288311;-1,4228516817;2,0143933296;-2,3572747707
220;-1,4686059952;-1,4408876896;2,0574159622;-2,3657209873
221;-1,4538944960;-1,4299579859;2,0392620564;-2,3644945621
222;-1,4075846672;-1,4142826796;1,9953670502;-2,3538208008
223;-1,3753293753;-1,4098290205;1,9695554972;-2,3438081741
224;-1,3845032454;-1,4142434597;1,9791245461;-2,3455686569
225;-1,4225983620;-1,4158993959;2,0071265697;-2,3585546017
226;-1,4550913572;-1,4143164158;2,0291824341;-2,3704037666
227;-1,4493044615;-1,4127112627;2,0239162445;-2,3689796925
228;-1,4083402157;-1,4134986401;1,9953447580;-2,3543665409
229;-1,3710834980;-1,4154729843;1,9706430435;-2,3402659893
230;-1,3798900843;-1,4153727293;1,9767085314;-2,3435013294
231;-1,4366599321;-1,4120366573;2,0144078732;-2,3648378849
232;-1,4871659279;-1,4097898006;2,0491876602;-2,3828976154
233;-1,4611406326;-1,4116781950;2,0316908360;-2,3734102249
234;-1,3464963436;-1,4161940813;1,9541386366;-2,3309717178
235;-1,2300547361;-1,4192144871;1,8780852556;-2,2849147320
236;-1,2492588758;-1,4168168306;1,8889197111;-2,2934288979
237;-1,4721162319;-1,4114258289;2,0394237041;-2,3772385120
238;-1,7945102453;-1,4087889194;2,2814366817;-2,4760313034
239;-1,9503216743;-1,4112539291;2,4073619843;-2,5152022839
240;-1,6582250595;-1,4168623686;2,1811027527;-2,4345235825
241;-0,8308746219;-1,4182374477;1,6437002420;-2,1007466316
242;0,3080021739;-1,4156848192;1,4488024712;-1,3565707207
243;1,2991510630;-1,4113177061;1,9182312489;-0,8267573118
244;1,6888400316;-1,4099549055;2,2000348568;-0,6956420541
245;1,2904489040;-1,4112854004;1,9123244286;-0,8300939202
246;0,2966523767;-1,4157958031;1,4465408325;-1,3642538786
247;-0,8355787992;-1,4185839891;1,6463816166;-2,1031055450
248;-1,6523313522;-1,4164035320;2,1763267517;-2,4329247475
249;-1,9391936064;-1,4130789042;2,3994297981;-2,5118672848
250;-1,7889573574;-1,4100701809;2,2778644562;-2,4740834236
251;-1,4788223505;-1,4107612371;2,0438108444;-2,3797440529
252;-1,2633799314;-1,4141358137;1,8962881565;-2,2999494076
253;-1,2389541864;-1,4173840284;1,8825474977;-2,2891237736
254;-1,3370906115;-1,4177283049;1,9487854242;-2,3269312382
255;-1,4372279644;-1,4143104553;2,0164072514;-2,3642311096
256;-1,4696849585;-1,4108500481;2,0372705460;-2,3766167164
257;-1,4446438551;-1,4091284275;2,0180780888;-2,3686389923
258;-1,4107829332;-1,4128785133;1,9966305494;-2,3554522991
259;-1,3998397589;-1,4181505442;1,9926620722;-2,3496968746
260;-1,4067223072;-1,4199646711;1,9987914562;-2,3515098095
261;-1,4168058634;-1,4156202078;2,0028278828;-2,3566131592
262;-1,4242736101;-1,4085980654;2,0031733513;-2,3617279530
263;-1,4364917278;-1,4063242674;2,0102877617;-2,3668060303
264;-1,4454898834;-1,4111053944;2,0200643539;-2,3682308197
265;-1,4228906631;-1,4190309048;2,0095438957;-2,3575525284
266;-1,3518160582;-1,4225460291;1,9624077082;-2,3307058811
267;-1,2719974518;-1,4171946049;1,9043157101;-2,3022539616
268;-1,2813357115;-1,4083901644;1,9040441513;-2,3089926243
269;-1,4606006145;-1,4050133228;2,0266761780;-2,3755900860
270;-1,7537828684;-1,4112586975;2,2510898113;-2,4639959335
271;-1,9328571558;-1,4222276211;2,3997225761;-2,5072312355
272;-1,6964516640;-1,4268337488;2,2167098522;-2,4423060417
273;-0,8849001527;-1,4180365801;1,6714892387;-2,1286993027
274;0,3285871148;-1,4022046328;1,4401899576;-1,3406136036
275;1,4381009340;-1,3953766823;2,0037989616;-0,7703209519
276;1,8551172018;-1,4066926241;2,3281416893;-0,6487773657
277;1,2818536758;-1,4252787828;1,9169163704;-0,8383291364
278;-0,0382946171;-1,4343467951;1,4348578453;-1,5974882841
279;-1,3905760050;-1,4218901396;1,9888372421;-2,3450608253
280;-1,9783535004;-1,3977434635;2,4223065376;-2,5265052319
281;-1,4179310799;-1,3901457787;1,9857074022;-2,3660888672
282;-0,0027959542;-1,4129072428;1,4129099846;-1,5727752447
283;1,4353808165;-1,4518345594;2,0416026115;-0,7910969257
284;2,0292143822;-1,4667606354;2,5038166046;-0,6258790493
285;1,4139518738;-1,4242432117;2,0069200993;-0,7890241742
286;-0,0331310928;-1,3378682137;1,3382784128;-1,5955553055
287;-1,4366276264;-1,2766280174;1,9218944311;-2,4150958061
