timestamp;byte;samp_rate
0,085703;240;65105
0,085719;240;65105
0,085734;240;65105
0,085749;170;65105
0,085765;170;65105
0,085780;170;65105
0,085796;0;65105
0,085811;8;65105
0,085826;0;65105
0,085842;8;65105
0,085857;34;65105
0,085872;231;65105
0,085888;213;65105
0,085903;32;65105
0,085918;64;65105
0,085934;243;65105
0,085949;111;65105
0,085964;30;65105
1,025499;240;65105
1,025514;240;65105
1,025529;240;65105
1,025545;170;65105
1,025560;170;65105
1,025575;170;65105
1,025591;0;65105
1,025606;8;65105
1,025622;0;65105
1,025637;8;65105
1,025652;233;65105
1,025668;56;65105
1,025683;161;65105
1,025698;78;65105
1,025714;134;65105
1,025729;51;65105
1,025744;132;65105
1,025760;185;65105
2,038392;240;65105
2,038407;240;65105
2,038423;240;65105
2,038438;170;65105
2,038454;170;65105
2,038469;170;65105
2,038484;0;65105
2,038500;8;65105
2,038515;0;65105
2,038530;8;65105
2,038546;140;65105
2,038561;71;65105
2,038576;48;65105
2,038592;140;65105
2,038607;200;65105
2,038622;86;65105
2,038638;180;65105
2,038653;34;65105
3,041595;240;65105
3,041610;240;65105
3,041625;240;65105
3,041641;170;65105
3,041656;170;65105
3,041672;170;65105
3,041687;0;65105
3,041702;8;65105
3,041718;0;65105
3,041733;8;65105
3,041748;245;65105
3,041764;255;65105
3,041779;247;65105
3,041794;247;65105
3,041810;86;65105
3,041825;64;65105
3,041841;29;65105
3,041856;161;65105
4,051588;240;65105
4,051603;240;65105
4,051618;240;65105
4,051634;170;65105
4,051649;170;65105
4,051664;170;65105
4,051680;0;65105
4,051695;8;65105
4,051710;0;65105
4,051726;8;65105
4,051741;185;65105
4,051757;248;65105
4,051772;251;65105
4,051787;245;65105
4,051803;192;65105
4,051818;118;65105
4,051833;194;65105
4,051849;129;65105
5,057100;240;65105
5,057115;240;65105
5,057131;240;65105
5,057146;170;65105
5,057161;170;65105
5,057177;170;65105
5,057192;0;65105
5,057208;8;65105
5,057223;0;65105
5,057238;8;65105
5,057254;124;65105
5,057269;204;65105
5,057284;204;65105
5,057300;76;65105
5,057315;128;65105
5,057330;61;65105
5,057346;58;65105
5,057361;229;65105
6,060965;240;65105
6,060980;240;65105
6,060995;240;65105
6,061011;170;65105
6,061026;170;65105
6,061041;170;65105
6,061057;0;65105
6,061072;8;65105
6,061087;0;65105
6,061103;8;65105
6,061118;1;65105
6,061134;107;65105
6,061149;28;65105
6,061164;234;65105
6,061180;123;65105
6,061195;210;65105
6,061210;202;65105
6,061226;131;65105
7,062124;240;65105
7,062140;240;65105
7,062155;240;65105
7,062171;170;65105
7,062186;170;65105
7,062201;170;65105
7,062217;0;65105
7,062232;8;65105
7,062247;0;65105
7,062263;8;65105
7,062278;202;65105
7,062293;224;65105
7,062309;245;65105
7,062324;128;65105
7,062340;21;65105
7,062355;37;65105
7,062370;151;65105
7,062386;6;65105
8,062758;240;65105
8,062774;240;65105
8,062789;240;65105
8,062805;170;65105
8,062820;170;65105
8,062835;170;65105
8,062851;0;65105
8,062866;8;65105
8,062881;0;65105
8,062897;8;65105
8,062912;204;65105
8,062927;9;65105
8,062943;92;65105
8,062958;217;65105
8,062973;251;65105
8,062989;15;65105
8,063004;205;65105
8,063020;5;65105
9,070142;240;65105
9,070157;240;65105
9,070173;240;65105
9,070188;170;65105
9,070203;170;65105
9,070219;170;65105
9,070234;0;65105
9,070250;8;65105
9,070265;0;65105
9,070280;8;65105
9,070296;239;65105
9,070311;174;65105
9,070326;173;65105
9,070342;102;65105
9,070357;195;65105
9,070372;198;65105
9,070388;248;65105
9,070403;209;65105
10,086774;240;65105
10,086790;240;65105
10,086805;240;65105
10,086820;170;65105
10,086836;170;65105
10,086851;170;65105
10,086867;0;65105
10,086882;8;65105
10,086897;0;65105
10,086913;8;65105
10,086928;189;65105
10,086943;190;65105
10,086959;121;65105
10,086974;100;65105
10,086989;181;65105
10,087005;190;65105
10,087020;253;65105
10,087035;191;65105
11,092136;240;65105
11,092151;240;65105
11,092167;240;65105
11,092182;170;65105
11,092197;170;65105
11,092213;170;65105
11,092228;0;65105
11,092243;8;65105
11,092259;0;65105
11,092274;8;65105
11,092290;167;65105
11,092305;44;65105
11,092320;43;65105
11,092336;77;65105
11,092351;190;65105
11,092366;178;65105
11,092382;129;65105
11,092397;96;65105
12,100265;240;65105
12,100280;240;65105
12,100296;240;65105
12,100311;170;65105
12,100326;170;65105
12,100342;170;65105
12,100357;0;65105
12,100372;8;65105
12,100388;0;65105
